Analyses de l algorithme génétique;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Nombre de générations :;11;;;;;;;;;;;;;;;;;;;
Nombre de solutions par génération :;20;;;;;;;;;;;;;;;;;;;
Temps de résolution :;1429;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Données utilisateur :;;;;;;;;;;;;;;;;;;;;
Nombre de jours de visite :;4;;;;;;;;;;;;;;;;;;;
Nombre de kilomètres max par jour :;250;;;;;;;;;;;;;;;;;;;
Budget max par jour :;100;;;;;;;;;;;;;;;;;;;
Heure de départ :;450;;;;;;;;;;;;;;;;;;;
Heure d arrivée :;1260;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Moyennes des scores des solutions des générations :;;;;;;;;;;;;;;;;;;;;
Générations :;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;
Moyennes scores :;3945;4385;4590;4700;4700;4700;4700;4700;4700;4700;4700;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Scores des meilleures solutions :;;;;;;;;;;;;;;;;;;;;
Générations :;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;
Meilleurs scores :;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Scores des moins bonnes solutions :;;;;;;;;;;;;;;;;;;;;
Générations :;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;
Moins bons scores :;3100;4100;4200;4700;4700;4700;4700;4700;4700;4700;4700;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Scores des solutions :;;;;;;;;;;;;;;;;;;;;
Génération0;3200;3300;4600;3800;3400;3900;3800;4100;3100;3400;4900;3600;4200;4100;4100;4000;4600;4100;4000;4700
Génération1;4700;4700;4700;4700;4700;4700;4600;4600;4600;4500;4200;4200;4100;4100;4100;4100;4100;4100;4100;4100
Génération2;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4600;4600;4600;4500;4500;4500;4400;4200;4200
Génération3;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération4;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération5;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération6;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération7;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération8;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
Génération9;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700
